	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8
100130426	0	0	0	0	0.46456372	0	0	0.691623493
100133144	3.625071725	3.925999419	2.219586745	2.511468039	3.645298164	4.641048861	2.630848091	4.303999875
100134869	4.178101106	3.144176924	3.721438285	5.397101291	4.18279557	4.377602717	0.682842935	4.282276696
10357	5.375512141	4.244826185	0.502941568	2.916247324	4.468335679	6.062866446	5.232111968	5.220647251
10431	11.0797393	9.783666508	9.553219752	9.549835676	10.39617127	9.589362391	10.35354131	9.906692662
136542	0	0	0	0	0	0	0	0
155060	7.512114666	7.196865685	5.283632908	6.697884997	6.147561102	8.535638921	5.327134033	6.021604092
26823	1.752791401	0.861002514	0	0	0	0.805457561	1.666620268	0.943058639
280660	0	0	0	0	0	0	0	0
317712	0	0	0	0	0	0	0	0
340602	0	1.60445093	0	0	0	0	0	0.943058639
388795	1.276198865	0	0	0	0	0.45817199	0	0.386810946
390284	0	2.092647217	1.808302667	2.095721922	1.283151339	0	1.292663973	1.508530069
391343	0.559736524	0	0	0	0	0	0	0
391714	0	0	0	0.726744042	0	0	0	0
404770	0	0	0	0	0	0	0	0
441362	0	0	0	0	0	0	0	0
442388	0	0	0	0	0	0	0	0
553137	2.741596419	6.879395779	0.875072301	6.751481128	6.632383103	1.085084679	0	8.12414303
57714	10.15307583	8.245310256	11.72849325	10.52854876	8.730150484	8.512195671	10.3342287	9.913609307
645851	4.68080255	3.727365046	1.808302667	2.481350613	3.416488481	3.471642703	3.044219237	3.396885587
652919	2.110396654	5.062834074	2.779007516	4.223553838	5.455784207	0	4.816794237	3.978314629
653553	2.932835996	1.94751655	2.370331702	3.748751031	1.283151339	1.996641829	3.655168618	2.957097397
728045	0	0	0	0	0	0	0	0
728603	1.534061602	0	0	0	0	0	0	0
728788	3.882281108	0	0.875072301	0	1.951363988	0.45817199	2.318172203	0
729884	0	0	0.502941568	2.785320372	2.079224489	1.996641829	1.666620268	0
8225	8.37029944	9.01037117	8.776411647	9.234048108	9.37366039	9.933428645	8.072604803	8.280709999
90288	3.514526284	1.786178129	1.415866811	2.916247324	1.283151339	0.45817199	2.765365008	2.026906266
1	5.508095831	5.738657064	4.250476553	4.223553838	4.816010836	4.699090723	5.9087985	5.124592825
29974	3.019737492	6.737609704	0.502941568	0	7.151966349	8.451865947	2.686343643	4.258827933
54715	0.559736524	4.080521232	0	0	0	1.319213275	0	0
87769	8.152576394	7.61965877	7.39912665	4.569090018	7.791454655	9.633528387	5.801694134	7.400264666
144568	0	0.861002514	1.415866811	5.73850575	5.131350771	0.45817199	0	5.855302061
2	12.67936543	14.68766892	13.11047561	12.15125354	14.07240247	12.76541973	14.97404616	14.13115431
53947	6.781652158	8.482746255	9.26227059	7.29935457	7.836672758	7.303865664	7.804417595	7.760778486
51146	0	1.60445093	5.765094445	10.32706137	9.285261411	0	0	9.644882843
404744	3.92792489	0.493852248	2.11653111	0.726744042	2.826436626	0	3.165735108	0.943058639
8086	9.624391006	9.321421936	9.273008545	9.55988486	9.606395218	9.353332334	9.204525906	9.493695363
729522	0	0	0.502941568	0	1.053319904	0	0	1.790855428
65985	9.617442854	8.6132819	8.942153493	10.2623803	10.97911268	9.481837163	9.281326402	10.05419363
344752	0.559736524	0.493852248	0	0	0.441908364	0	0	0
126767	0	0	0	0	0	0	0	0
343066	0	0.861002514	0	0	0	0	0	0
